"UniqueKey","RECSTATUS","GlobalRecordId","FirstSaveLogonName","FirstSaveTime","LastSaveLogonName","LastSaveTime","FKEY","group_order","study_id_expo","trial_expo","active_igredient","order_active_ingredient","selectioncriteria","ABtradename","Frequency_of_administration","Intervaldays","TSactiveingredient","Ts_Conc","TstradeName","Administrationregime","ABpreparation","TSprepration","Concentration","Route","TS","More","PICO12","PICO34","PICO5","TeatpreparationbeforeDCTinfusion1","DepthofinsertionofDCTsyringecannula","TeatsprayordippingafterDCTinfusion"
11,1,e8ce1f96-7f15-48af-9ff9-c771b0493625,ADDS\mafifi,3/21/2019 1:14:10 PM,ADDS\mafifi,3/21/2019 1:55:11 PM,ed89a724-d40c-4a2f-90a6-b296bed51dcb,1,108,1,Novobiocin+Pen,1_Novobiocin+Pen,,Albadry Plus,1,,,,,Blanket,Commercial,,400,Intra-mammary,False,"Novobiocin (400 mg) +  procaine penicillin G (200,000 IU)
+
booster 1-3  prepartum dose of Albacillin, containing novobiocin (ISO mg) and procaine penicillin G (100,000 IV)


",Treatment,Not-used,Not-used,Not-reported,Not-reported,Yes
12,1,5553a5be-9243-4db2-89af-71ececaec647,ADDS\mafifi,3/21/2019 1:20:23 PM,ADDS\mafifi,5/28/2019 12:24:25 PM,ed89a724-d40c-4a2f-90a6-b296bed51dcb,2,108,1,Novobiocin+Pen,2_Novobiocin+Pen,,Albadry Plus,1,,,,,Blanket,Commercial,,400,Intra-mammary,False,"Novobiocin (400 mg) +  procaine penicillin G (200,000 IU)",Treatment,Not-used,Not-used,No,Not-reported,Yes
13,1,36ed0164-eb8a-4656-8a65-927b4017db92,ADDS\mafifi,3/21/2019 1:22:32 PM,ADDS\mafifi,5/28/2019 12:24:28 PM,ed89a724-d40c-4a2f-90a6-b296bed51dcb,3,108,1,-ve control,3_-ve control,,,,,,,,,,,,,False,,Control,Not-used,Not-used,Not-reported,Not-reported,No
14,1,0c302109-6c5a-493d-aa15-dfa6dcc80200,ADDS\mafifi,3/21/2019 2:38:17 PM,ADDS\mafifi,3/21/2019 5:40:07 PM,c891db24-389a-4910-8603-33c48d169411,1,110,1,Cloxa,1_Cloxa,,Orbenin D.C.,1,,,,,Blanket,Commercial,,500,Intra-mammary,False,"Orbenin D.C. (Beecham Animal Health, U.K.) containing per injector 500 mg benzathine cloxacillin",Treatment,Not-used,Not-used,Yes,Not-reported,Not-reported
15,1,863fe45a-2299-405a-b35c-e26cb17e93cf,ADDS\mafifi,3/21/2019 2:39:24 PM,ADDS\mafifi,3/21/2019 5:41:51 PM,c891db24-389a-4910-8603-33c48d169411,2,110,1,Naficillin+Pen+Strept,2_Naficillin+Pen+Strept,,Nafpenzal D.C.,1,,,,,Blanket,Commercial,,100,Intra-mammary,False,"Nafpenzal D.C. (GistBrocades, Holland) containing per injector 100 mg sodium nafcillin, 300 mg procaine benzylpenicillin, and 100 mg dihydrostreptomycin
",Treatment,Not-used,Not-used,Yes,Not-reported,Not-reported
16,1,accf12e6-1528-453a-85cc-0727cf492fe5,ADDS\mafifi,3/21/2019 2:40:40 PM,ADDS\mafifi,3/21/2019 5:55:18 PM,c891db24-389a-4910-8603-33c48d169411,3,110,1,Cephalonium,3_Cephalonium,,Cepravin D.C.,1,,,,,Blanket,Commercial,,250,Intra-mammary,False,"Cepravin D.C. (Glaxovet, U.K.) containing per injector 250 mg cephalonium",Treatment,Not-used,Not-used,Yes,Not-reported,Not-reported
17,1,dfa0e122-6867-4cf2-bdfa-985fe962a095,ADDS\mafifi,3/22/2019 8:07:39 PM,ADDS\mafifi,3/23/2019 12:01:44 AM,26924f35-2da1-4918-b6d1-f560f03a70b7,1,111,1,Cephalonium,1_Cephalonium,,Cepravin Dry Cow,1,,,,,Blanket,Commercial,,250,Intra-mammary,False,"250 mg; Cepravin Dry Cow, ScheringPlough Animal Health Ltd, New Zealand",Treatment,Not-used,Not-used,Yes,Partial,Yes
18,1,ab7b13bb-4cbf-4d81-a438-0a4597880982,ADDS\mafifi,3/22/2019 11:52:47 PM,ADDS\mafifi,3/23/2019 12:11:14 AM,26924f35-2da1-4918-b6d1-f560f03a70b7,2,111,1,Cloxa,2_Cloxa,,DryClox DC Xtra,1,,,,,Blanket,Commercial,,600300,Intra-mammary,False,"600 mg and 300 mg, repectively; DryClox DC Xtra, Norbrook
Laboratories, Newry, Northern Ireland",Treatment,Not-used,Not-used,Yes,Partial,Yes
19,1,6d7e3714-d4d5-480a-bde0-2ae4d8e8f831,ADDS\mafifi,3/22/2019 11:54:05 PM,ADDS\mafifi,3/23/2019 12:10:36 AM,26924f35-2da1-4918-b6d1-f560f03a70b7,3,111,1,Cloxa,3_Cloxa,,Orbenin Enduro Dry Cow,1,,,,,Blanket,Commercial,,600,Intra-mammary,False,"600 mg; Orbenin Enduro Dry Cow, Pfizer Laboratories
Ltd, New Zealand",Treatment,Not-used,Not-used,Yes,Partial,Yes
20,1,d8f68ad9-47e1-4b90-836d-b60e5bcd5fbe,ADDS\mafifi,3/23/2019 12:43:55 AM,ADDS\mafifi,3/23/2019 1:56:08 AM,377d73e0-deab-46cb-8f37-8d74e68a4478,1,115,1,Naficillin+Pen+Strept,1_Naficillin+Pen+Strept,,Vetipen DC,1,,,,,Blanket,Commercial,,110300125,Intra-mammary,False,"Vetipen DC; Vetimex B.V., Bladel, the Netherlands",Treatment,Not-used,Not-used,Not-reported,Not-reported,Not-reported
21,1,ac1869a4-c09a-49b4-aed6-4567d2c9504c,ADDS\mafifi,3/23/2019 12:49:07 AM,ADDS\mafifi,3/23/2019 2:04:21 AM,377d73e0-deab-46cb-8f37-8d74e68a4478,2,115,1,Cefquinome,2_Cefquinome,,Cobactan,2,1,,,,Blanket,Commercial,,1,Intra-mammary,False,"1-mg/kg b.w. of cefquinome (Cobactan, Intervet,
Boxmeer, the Netherlands",Treatment,Not-used,Not-used,Not-reported,Not-reported,Not-reported
22,1,dec85153-a80f-4f29-8a2a-4464ff36cbd3,ADDS\mafifi,3/23/2019 9:02:55 PM,ADDS\mafifi,9/10/2019 3:11:54 PM,b2b40093-64d0-42d4-bdaa-ae94c7e4ad1b,1,118,1,Cefquinome,1_Cefquinome,,Cephaguard Dry Cow,1,,,,,Blanket,Commercial,,150,Intra-mammary,False," 150 mg of cefquinome; Cephaguard Dry Cow, Virbac Ltd",Treatment,Not-used,Not-used,Yes,Not-reported,Yes
23,1,f128ad75-a47f-4549-b50e-6307d14395e3,ADDS\mafifi,3/23/2019 9:03:10 PM,ADDS\mafifi,11/25/2019 2:11:45 PM,b2b40093-64d0-42d4-bdaa-ae94c7e4ad1b,2,118,1,Cloxa,2_Cloxa+TS,,Orbenin Extra Dry Cow,1,,,65,OrbeSeal,Blanket,Commercial,Commercial,600,Intra-mammary,True," 600 mg of cloxacillin; Orbenin Extra Dry Cow, Pfizer Animal Health, Sandwich, UK) + (65% of bismuth subnitrate in a mineral oil base; OrbeSeal, Pfizer Animal Health)",Not-used,Not-used,Treatment,Yes,Not-reported,Yes
24,1,17e05517-7c38-41a1-b6da-20eb61944bd1,ADDS\mafifi,3/23/2019 9:03:22 PM,ADDS\mafifi,9/10/2019 3:21:08 PM,b2b40093-64d0-42d4-bdaa-ae94c7e4ad1b,3,118,1,Cloxa,3_Cloxa,,Orbenin Extra Dry Cow,1,,,,,Blanket,Commercial,,600,Intra-mammary,False," 600 mg of cloxacillin; Orbenin Extra Dry Cow, Pfizer Animal Health",Treatment,Not-used,Control,Yes,Not-reported,Yes
25,1,95e5b282-6e11-4d45-a4f0-976ca209f8fe,ADDS\mafifi,3/24/2019 12:24:22 AM,ADDS\mafifi,3/24/2019 1:11:08 AM,9686084d-d8d5-4e44-8b78-6daa50bde5a6,1,113,1,Cephalonium,1_Cephalonium,,Cepravin ,1,,,,,Blanket,Commercial,,250,Intra-mammary,False,"Coopers Cepravin Dry Cow Intramammary AntibioticTM
Schering-Plough Pty Ltd, Baulkham Hills",Treatment,Not-used,Not-used,Yes,Not-reported,Not-reported
26,1,bf8524c5-4a73-4acd-af5a-75d0872e61d1,ADDS\mafifi,3/24/2019 12:49:29 AM,ADDS\mafifi,3/24/2019 1:09:11 AM,9686084d-d8d5-4e44-8b78-6daa50bde5a6,2,113,1,Cloxa,2_Cloxa,,Orbenin Enduro,1,,,,,Blanket,Commercial,,600,Intra-mammary,False,Orbenin Enduro - Dry Cow Intramammary Suspension containing 600mg Cloxacillin,Treatment,Not-used,Not-used,,,
27,1,f2de3531-347a-4a85-b6ec-c180a602ba1f,ADDS\mafifi,3/24/2019 1:42:54 AM,ADDS\mafifi,3/24/2019 1:58:25 AM,e3e86bb5-a5dc-46b1-bb50-69a001cded0c,1,120,1,Cloxa,1_Cloxa,,,1,,,,,Blanket,Experimental,,200,Intra-mammary,False,sodium Cloxacillin (0.2 g in an aluminum monostearate base),Treatment,Not-used,Not-used,Yes,Not-reported,Not-reported
28,1,da9cbb0e-460d-42bb-b11d-20542446a9bb,ADDS\mafifi,3/24/2019 1:44:35 AM,ADDS\mafifi,3/24/2019 1:57:24 AM,e3e86bb5-a5dc-46b1-bb50-69a001cded0c,2,120,1,Novobiocin+Pen,2_Novobiocin+Pen,,,1,,,,,Blanket,Experimental,,250,Intra-mammary,False,"Penicillin-Novohiocin ( 300,000 IU + 250 mg)",Treatment,Not-used,Not-used,Yes,Not-reported,Not-reported
29,1,f3da854d-c91c-4e65-bd2d-e6f258f19509,ADDS\mafifi,3/24/2019 1:46:26 AM,ADDS\mafifi,3/24/2019 1:57:06 AM,e3e86bb5-a5dc-46b1-bb50-69a001cded0c,4,120,1,PenicillinG,3_PenicillinG,,,1,,,,,Blanket,Experimental,,300000,Intra-mammary,False,"Penicillin in long-acting base(300000IU)
long-acting preparation of procaine benzyl penicillin (300 mg)
",Treatment,Not-used,Not-used,Yes,Not-reported,Not-reported
30,1,1ff8d6f4-d1fb-4c93-8417-a731a4788660,ADDS\mafifi,3/24/2019 1:47:21 AM,ADDS\mafifi,3/24/2019 1:57:05 AM,e3e86bb5-a5dc-46b1-bb50-69a001cded0c,4,120,1,PenicillinG,4_PenicillinG,,,1,,,,,Blanket,Experimental,,25000,Intra-mammary,False,"procaine penicillin cerate (25,000 units)",Treatment,Not-used,Not-used,Yes,Not-reported,Not-reported
31,1,a365ab78-093b-4c7d-a615-b8279306464d,ADDS\mafifi,3/24/2019 2:26:19 AM,ADDS\mafifi,10/29/2019 8:27:14 PM,84a135cd-e3c4-43d0-85ba-b994a8fc0c88,1,125,1,Cephapirin,1_Cephapirin+TS,,Tomorrow,1,,bismuth subnitrate,65,Orbeseal,Blanket,Commercial,Commercial,300,Intra-mammary,True,"of 300 mg of cephapirin (Tomorrow®, Fort Dodge, Ft Dodge, Iowa, USA) intramammary +  then with 4 g of commercially available internal teat sealant containing 65% bismuth subnitrate (Orbeseal®, Pfzer. New York, New York, USA)",Treatment,Not-used,Not-used,Yes,Partial,Not-reported
32,1,ec7940d2-e8b6-49b6-a096-515cbb0cd5d4,ADDS\mafifi,3/24/2019 2:52:28 AM,ADDS\mafifi,10/29/2019 8:27:10 PM,84a135cd-e3c4-43d0-85ba-b994a8fc0c88,2,125,1,Cephapirin,2_Cephapirin+TS,,Tomorrow,1,,bismuth subnitrate,65,Orbeseal,Blanket,Commercial,Commercial,300,Intra-mammary,True,"in each productive quarter with cephapirin intramamary 300 mg, 
+ then injected intramuscularly with tylosin (Tylosin, Agripharma. Westlake, Texas, USA) 12 g 
+ fnally were infused with teat sealant.

",Treatment,Not-used,Not-used,Yes,Partial,Not-reported
33,1,970e33f6-e6b0-409d-9407-f96714fa8642,ADDS\mafifi,3/24/2019 2:54:22 AM,ADDS\mafifi,10/29/2019 8:27:06 PM,84a135cd-e3c4-43d0-85ba-b994a8fc0c88,3,125,1,Tylosin,3_Tylosin+TS,,Tylosin,1,,bismuth subnitrate,65,Orbeseal,Blanket,Commercial,Commercial,12000,IM,True,"tylosin 12 g intramuscular and then teat sealant
was infused in each productive quarter",Treatment,Not-used,Treatment,Yes,,Not-reported
34,1,d3ffe4a4-c0d6-4ad3-9907-27bd2df556f1,ADDS\mafifi,3/24/2019 2:55:24 AM,ADDS\mafifi,10/29/2019 8:27:24 PM,84a135cd-e3c4-43d0-85ba-b994a8fc0c88,4,125,1,Tylosin,4_Tylosin,,Tylosin,1,,,,,Blanket,Commercial,,12000,IM,False," Tylosin, Agripharma. Westlake, Texas, USA",Treatment,Not-used,Control,Yes,,Not-reported
35,1,b063dbef-ba68-4cb3-92c6-28010814c602,ADDS\mafifi,3/24/2019 8:52:18 PM,ADDS\mafifi,3/24/2019 9:38:21 PM,e5afb9b0-a8b4-4128-8c9e-24525e9c1b45,1,126,1,Pen+strept,1_Pen+strept,,,1,,,,,Blanket,Experimental,,68,Intra-mammary,False,"Procain benzyl penicillin + dihydrostreptomycin sulphate was diluted in glycerine and methyl paraben <k Y lubricating jelly. Johnson and Johnson, East London) to a concentration of 6 mg and 8 mg of the antibiotics, respectively, per 0,1 ml diluent. ",Treatment,Not-used,Not-used,Yes,Partial,Not-reported
36,1,0a7f8079-e973-4524-87bd-f4195ebf3c7c,ADDS\mafifi,3/24/2019 8:53:34 PM,ADDS\mafifi,3/24/2019 9:40:19 PM,e5afb9b0-a8b4-4128-8c9e-24525e9c1b45,2,126,1,Pen+strept,2_Pen+strept,,,1,,,,,Blanket,Experimental,,1419,Intra-mammary,False,"0.25 ml of a preparation containing 14 mg Procain benzyl penicillin and 19 mg dihydrostreptomycin sulphate, was used respectively",Treatment,Not-used,Not-used,Yes,Partial,Not-reported
37,1,7ca42669-2e72-425f-b023-60487066a6ad,ADDS\mafifi,3/24/2019 8:57:14 PM,ADDS\mafifi,3/24/2019 9:44:41 PM,e5afb9b0-a8b4-4128-8c9e-24525e9c1b45,3,126,1,Pen+strept,3_Pen+strept,,,1,,,,,Blanket,Experimental,,10,Intra-mammary,False,10 g of a preparation containing Procain benzyl penicillin (4.9% m/m) and dihydrostreptomycin sulphate (6.5% m/m was deposited in the quarters 'gland cisterns of all the quarters via the teat canal.,Treatment,Not-used,Not-used,Yes,Full,Not-reported
38,1,35f29b13-ae3f-47a7-9156-162cf0b4fc65,ADDS\mafifi,3/24/2019 8:58:22 PM,ADDS\mafifi,3/24/2019 9:47:11 PM,e5afb9b0-a8b4-4128-8c9e-24525e9c1b45,4,126,1,-ve control,4_-ve control,,,,,,,,,,,,,False,,Control,Not-used,Not-used,,,
39,1,9e4af03d-e676-4c1a-9e1b-3033fb5d299d,ADDS\mafifi,3/24/2019 11:15:57 PM,ADDS\mafifi,3/24/2019 11:48:37 PM,1cbfc261-e984-4127-8a16-29dea9825bfc,1,127,1,Cloxa+Ampicillin,1_Cloxa+Ampicillin+TS,,Dryclox ,1,,,,Teatseal,Blanket,Commercial,,500250,Intra-mammary,True,"500 mg cloxacillin plus 250 mg ampicillin; Dryclox DC, Bayer New Zealand Limited, Auckland, NZ. Teatseal, Zoetis New Zealand Ltd, Auckland, NZ
",Treatment,Not-used,Not-used,Not-reported,Not-reported,Not-reported
40,1,7eca831b-438c-47d8-b64b-c6676c250993,ADDS\mafifi,3/24/2019 11:22:30 PM,ADDS\mafifi,3/24/2019 11:50:45 PM,1cbfc261-e984-4127-8a16-29dea9825bfc,2,127,1,Cloxa+Ampicillin,2_Cloxa+Ampicillin,,Dryclox,1,,,,Teatseal,Blanket,Commercial,,600300,Intra-mammary,True,"600 mg cloxacillin plus 300 mg ampicillin; Dryclox Xtra, Bayer New Zealand Limited",Treatment,Not-used,Not-used,Not-reported,Not-reported,Not-reported
41,1,e412e6aa-8375-4049-868d-250cb85512b7,ADDS\mafifi,3/25/2019 12:25:10 AM,ADDS\mafifi,11/26/2019 6:08:04 PM,976a06e4-48f0-4618-bc69-066050d8efcd,1,129,1,Cloxa,1_Cloxa,,Orbenin ,1,,,,,Blanket,Commercial,,600,Intra-mammary,False, Orbenin Extra Dry Cow [OEDC]; Pfizer Animal Health,Not-used,Not-used,Control,Yes,Full,Yes
42,1,28ba2977-ba09-4efc-9ec2-167bf90c2a56,ADDS\mafifi,3/25/2019 12:27:43 AM,ADDS\mafifi,11/26/2019 6:08:09 PM,976a06e4-48f0-4618-bc69-066050d8efcd,2,129,1,Cloxa,2_Cloxa+TS,,Orbenin,1,,bismuth subnitrate,65,OrbeSeal,Blanket,Commercial,Commercial,600,Intra-mammary,True,OrbeSeal; Pfizer Animal Health,Not-used,Not-used,Treatment,Yes,Full,Yes
43,1,56e97018-8791-43b8-84f3-f7e79f80996c,ADDS\mafifi,3/25/2019 8:19:45 PM,ADDS\mafifi,4/16/2019 1:28:07 PM,ecfdf574-28b4-43d9-a715-b0b959f01753,1,130,1,Cephapirin,1_Cephapirin,,Tomorrow,1,,,,,Blanket,Commercial,,300,Intra-mammary,False,"Tomorrow, Franklin Laboratories, Inc., Fort Dodge, IA",Treatment,Not-used,Not-used,Not-reported,Not-reported,Not-reported
44,1,b14fed1d-2748-4ba6-94cc-f8ad30a3c251,ADDS\mafifi,3/25/2019 8:20:26 PM,ADDS\mafifi,3/25/2019 10:25:37 PM,ecfdf574-28b4-43d9-a715-b0b959f01753,2,130,1,Tilmicosin,2_Tilmicosin,,,1,,,,,Blanket,Experimental,,300,Intra-mammary,False,,Treatment,Not-used,Not-used,Not-reported,Not-reported,Not-reported
45,1,adf7e070-25c8-403d-afed-99704bcebefe,ADDS\mafifi,3/25/2019 8:28:33 PM,ADDS\mafifi,3/25/2019 10:25:47 PM,ecfdf574-28b4-43d9-a715-b0b959f01753,3,130,1,Tilmicosin,3_Tilmicosin,,Micotil,1,,,,,Blanket,Commercial,,5,SC,False,"Micotil 300; Elanco, Indianapolis, IN",Treatment,Not-used,Not-used,Not-reported,,Not-reported
46,1,2bc1755f-38b5-46f0-8af8-7d2b02566917,ADDS\mafifi,3/25/2019 10:17:45 PM,ADDS\mafifi,3/25/2019 11:23:50 PM,69b0904b-d5b9-4cbb-bd95-ca796d6e2545,1,134,1,Tilmicosin,1_Tilmicosin,,,1,,,,,Blanket,Experimental,,20,SC,False,"polymer-based preparation of 40% tilmicosin phosphate designed for extended actiona (experimental preparation; 20
mg/kg, SC)
",Treatment,Not-used,Not-used,Not-reported,,Not-reported
47,1,82cc4478-85e4-4896-9ffa-0520b1bb2489,ADDS\mafifi,3/25/2019 10:36:16 PM,ADDS\mafifi,3/25/2019 11:24:59 PM,69b0904b-d5b9-4cbb-bd95-ca796d6e2545,2,134,1,Tilmicosin,2_Tilmicosin,,,2,20,,,,Blanket,Experimental,,20,SC,False,,Treatment,Not-used,Not-used,Not-reported,,Not-reported
48,1,5d58dbc5-8ad9-4345-b189-133d637ce0cf,ADDS\mafifi,3/25/2019 10:39:25 PM,ADDS\mafifi,3/25/2019 11:32:41 PM,69b0904b-d5b9-4cbb-bd95-ca796d6e2545,3,134,1,Ceftiofur,3_Ceftiofur,,Spectramast,1,,,,,Blanket,Commercial,,500,Intra-mammary,False,"Spectramast DC, Zoetis, Florham Park, NJ.",Treatment,Not-used,Not-used,Yes,Partial,Not-reported
49,1,583e866b-0230-4a0a-a982-48ebb0ac7899,ADDS\mafifi,3/26/2019 12:40:40 AM,ADDS\mafifi,5/19/2019 6:55:12 PM,915bf43e-e651-4640-8a0a-7325cf1d746c,1,200,1,Cephalonium,1_Cephalonium,,Cepravin ,1,,,,,Blanket,Commercial,,,Intra-mammary,False," Cepravin (Schering Plough Animal Health Ltd., Uxbridge, UK)",Not-used,Not-used,Control,Yes,Partial,Not-reported
50,1,e7e3286a-dbad-48c7-906f-5a9ecabc3cf7,ADDS\mafifi,3/26/2019 12:42:32 AM,ADDS\mafifi,5/19/2019 6:55:12 PM,915bf43e-e651-4640-8a0a-7325cf1d746c,2,200,1,Cephalonium,2_Cephalonium+TS,,Cepravin ,1,,bismuth subnitrate,,OrbeSeal ,Blanket,Commercial,Commercial,,Intra-mammary,True,"Cepravin (Schering Plough Animal Health Ltd., Uxbridge, UK
",Not-used,Not-used,Treatment,Yes,Partial,Not-reported
51,1,5d3108cf-2e58-4dac-b7c9-eb096ee26eb6,ADDS\mafifi,4/2/2019 11:53:05 AM,ADDS\mafifi,4/2/2019 12:38:30 PM,b592648f-f4ad-44fc-b3c6-e8881eb4b020,1,132,1,Pen+strept,1_Pen+strept,,Quartermaster,1,,,,,Blanket,Commercial,,10000001,Intra-mammary,False,"Penicillin-streptomycin (1,000,000 units
penicillin G + 1 g dihydrostreptomycin
 





",Not-used,Control,Not-used,Not-reported,Not-reported,Not-reported
52,1,eeb7c944-a332-46bd-9a14-da7d06f396e5,ADDS\mafifi,4/2/2019 12:00:28 PM,ADDS\mafifi,4/2/2019 5:40:09 PM,b592648f-f4ad-44fc-b3c6-e8881eb4b020,2,132,1,Pen+strept,2_Pen+strept,More than one criteria,Quartermaster,1,,,,,Selective,Commercial,,10000001,Intra-mammary,False,"1) a somatic cell count of greater than 500,000 cells/ml 
 2) California Mastitis Test (CMT) score of +2 or +3 in any quarter on day of drying off, 
or 3) history of clinical mastitis in current lactation


",Not-used,Treatment,Not-used,Not-reported,Not-reported,Not-reported
53,1,0ec2c90c-c803-4a2b-a68f-dbf50491b446,ADDS\mafifi,4/2/2019 5:34:33 PM,ADDS\mafifi,4/18/2019 8:50:14 PM,0f769094-abfe-46a9-a485-96f9edee3b78,1,268,1,Cloxa,1_Cloxa,,Orbenin,1,,,,,Blanket,Commercial,,500,Intra-mammary,False,"Orbenin Dry Cow infusion; Beecham
Veterinary Products)

",Treatment,Control,Not-used,Not-reported,Not-reported,Not-reported
54,1,42c2a337-8c58-483b-9e9a-3c011506011d,ADDS\mafifi,4/2/2019 5:38:49 PM,ADDS\mafifi,4/18/2019 8:51:54 PM,0f769094-abfe-46a9-a485-96f9edee3b78,2,268,1,Cloxa,2_Cloxa,NAGase,,1,,,,,Selective,Commercial,,500,Intra-mammary,False,,Not-used,Treatment,Not-used,Not-reported,Not-reported,Not-reported
