"UniqueKey","RECSTATUS","GlobalRecordId","FirstSaveLogonName","FirstSaveTime","LastSaveLogonName","LastSaveTime","FKEY","study_id_expo","trial_expo","Group_expo","Time1","dayspostcalving","from1","to1","Def","COV","DetectionMethod","Ounit1","stratifyingvariable","study_id_expo1","T","Estimatetype","Estimatescale","trial_expo1","U","CIlevel","Group_expo1"
14,1,229c0ab8-22ec-4090-9a1a-fb227732bdea,ADDS\mafifi,3/23/2019 1:03:15 AM,ADDS\mafifi,3/23/2019 1:14:19 AM,d8f68ad9-47e1-4b90-836d-b60e5bcd5fbe,115,1,1_Naficillin+Pen+Strept,2,14,,,New infection rate based on second after calving sample,,Culture,Quarter,No-stratification (totals),,,,,,,,
15,1,e0517b47-c941-4ad4-8cd9-2adfeb3df3ed,ADDS\mafifi,3/23/2019 1:05:26 AM,ADDS\mafifi,3/23/2019 1:06:05 AM,d8f68ad9-47e1-4b90-836d-b60e5bcd5fbe,115,1,1_Naficillin+Pen+Strept,3,14,,,New infection rate based on either after calving sample,,Culture,Quarter,No-stratification (totals),,,,,,,,
16,1,ddc9540d-12fa-41d8-9e89-20fe83e06957,ADDS\mafifi,3/23/2019 2:01:20 AM,ADDS\mafifi,3/23/2019 2:03:08 AM,ac1869a4-c09a-49b4-aed6-4567d2c9504c,115,1,2_Cefquinome,1,7,,,New infection rate based on first after calving sample,,Culture,Quarter,No-stratification (totals),,,,,,,,
17,1,695516b4-66e5-42c6-966e-596eb1379f6a,ADDS\mafifi,3/23/2019 2:03:07 AM,ADDS\mafifi,3/23/2019 2:03:17 AM,ac1869a4-c09a-49b4-aed6-4567d2c9504c,115,1,2_Cefquinome,2,14,,,New infection rate based on second after calving sample,,Culture,Quarter,No-stratification (totals),,,,,,,,
18,1,241557e5-c4df-45c8-955f-d73cfa6316e1,ADDS\mafifi,3/23/2019 2:04:02 AM,ADDS\mafifi,3/23/2019 2:04:02 AM,ac1869a4-c09a-49b4-aed6-4567d2c9504c,115,1,2_Cefquinome,2,14,,,New infection rate based on either after calving sample,,Culture,Quarter,No-stratification (totals),,,,,,,,
19,1,249dad6f-fca2-4ad6-a673-d45c37831f04,ADDS\mafifi,3/23/2019 9:53:22 PM,ADDS\mafifi,9/10/2019 3:11:49 PM,dec85153-a80f-4f29-8a2a-4464ff36cbd3,118,1,1_Cefquinome,1,,0,10,,,Culture,Quarter,No-stratification (totals),,,,,,,,
20,1,519eb51c-7df9-4f15-985a-005f165a9660,ADDS\mafifi,3/23/2019 10:57:39 PM,ADDS\mafifi,9/10/2019 3:12:32 PM,f128ad75-a47f-4549-b50e-6307d14395e3,118,1,2_Cloxa+TS,1,,0,10," A new infection was
defined as the presence of a pathogen in the postcalving
sample that had not been present at drying off. ",,Culture,Quarter,No-stratification (totals),,,,,,,,
21,1,95ac1142-2722-499e-8aee-bc7f8c66cf14,ADDS\mafifi,3/23/2019 11:07:14 PM,ADDS\mafifi,9/10/2019 3:13:34 PM,17e05517-7c38-41a1-b6da-20eb61944bd1,118,1,3_Cloxa,1,,0,10," A new infection was
defined as the presence of a pathogen in the postcalving
sample that had not been present at drying off.",,Culture,Quarter,No-stratification (totals),,,,,,,,
22,1,16390403-069f-48c6-95dd-b9d10d60cf76,ADDS\mafifi,3/24/2019 9:38:17 PM,ADDS\mafifi,3/24/2019 9:38:17 PM,b063dbef-ba68-4cb3-92c6-28010814c602,126,1,1_Pen+strept,1,,1,5,,,Culture,Quarter,No-stratification (totals),,,,,,,,
23,1,d4815710-766c-4404-8512-9603d9fd4999,ADDS\mafifi,3/24/2019 9:44:35 PM,ADDS\mafifi,3/24/2019 9:44:35 PM,7ca42669-2e72-425f-b023-60487066a6ad,126,1,3_Pen+strept,1,,1,5,,,Culture,Quarter,No-stratification (totals),,,,,,,,
24,1,1472da34-647d-4299-993e-6d61cfba23e5,ADDS\mafifi,3/25/2019 1:32:38 AM,ADDS\mafifi,3/25/2019 1:32:38 AM,e412e6aa-8375-4049-868d-250cb85512b7,129,1,1_Cloxa,1,,4,11," A new infection was defined as the culture
of a pathogen in either of the samples taken after calving that
was not present in any of the three samples taken before drying off",,Culture,Quarter,No-stratification (totals),,,,,,,,
25,1,6abe8db5-3599-460d-a73d-a1b73d7f922c,ADDS\mafifi,3/25/2019 1:39:50 AM,ADDS\mafifi,3/25/2019 1:39:50 AM,28ba2977-ba09-4efc-9ec2-167bf90c2a56,129,1,2_Cloxa+TS,1,,4,11," A new infection was defined as the culture
of a pathogen in either of the samples taken after calving that
was not present in any of the three samples taken before drying off",,Culture,Quarter,No-stratification (totals),,,,,,,,
26,1,c1338ed5-779a-42a5-8942-134764705ea9,ADDS\mafifi,3/25/2019 9:32:50 PM,ADDS\mafifi,3/25/2019 9:32:50 PM,56e97018-8791-43b8-84f3-f7e79f80996c,130,1,1_Cephapirin,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
27,1,f4e622f9-d607-4df6-bf98-7c5397b3dc27,ADDS\mafifi,3/25/2019 9:39:35 PM,ADDS\mafifi,3/25/2019 9:39:35 PM,b14fed1d-2748-4ba6-94cc-f8ad30a3c251,130,1,2_Tilmicosin,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
28,1,22a73b41-49e4-41cb-9525-7a45d8a003ea,ADDS\mafifi,3/25/2019 9:41:03 PM,ADDS\mafifi,3/25/2019 9:41:03 PM,adf7e070-25c8-403d-afed-99704bcebefe,130,1,3_Tilmicosin,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
29,1,fb6ead74-2e20-4bc4-a97b-e6a849ae4b42,ADDS\mafifi,3/25/2019 11:18:47 PM,ADDS\mafifi,3/25/2019 11:18:47 PM,2bc1755f-38b5-46f0-8af8-7d2b02566917,134,1,1_Tilmicosin,1,1,,," A new IMI was defned as the isolation of a
Staphylococcus spp from a gland that had previously
cultured negative for that organism.",,Culture,Quarter,No-stratification (totals),,,,,,,,
30,1,3882856d-6bc8-424a-bf57-26d4de739a70,ADDS\mafifi,3/25/2019 11:21:08 PM,ADDS\mafifi,3/25/2019 11:21:08 PM,2bc1755f-38b5-46f0-8af8-7d2b02566917,134,1,1_Tilmicosin,2,15,,," A new IMI was defned as the isolation of a
Staphylococcus spp from a gland that had previously
cultured negative for that organism.",,Culture,Quarter,No-stratification (totals),,,,,,,,
31,1,c33c82e1-415f-41cc-8a61-1d9a80370a64,ADDS\mafifi,3/25/2019 11:23:29 PM,ADDS\mafifi,3/25/2019 11:23:30 PM,2bc1755f-38b5-46f0-8af8-7d2b02566917,134,1,1_Tilmicosin,3,30,,," A new IMI was defned as the isolation of a
Staphylococcus spp from a gland that had previously
cultured negative for that organism.",,Culture,Quarter,No-stratification (totals),,,,,,,,
32,1,c7f46fdf-0838-4465-b327-318fcb639cf6,ADDS\mafifi,3/25/2019 11:26:42 PM,ADDS\mafifi,3/25/2019 11:26:42 PM,82cc4478-85e4-4896-9ffa-0520b1bb2489,134,1,2_Tilmicosin,1,1,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
33,1,3b83789b-3d4a-4d01-a66b-4d6f10220c35,ADDS\mafifi,3/25/2019 11:27:26 PM,ADDS\mafifi,3/25/2019 11:27:26 PM,82cc4478-85e4-4896-9ffa-0520b1bb2489,134,1,2_Tilmicosin,2,15,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
34,1,a19aaf49-0ea4-4f8b-8f02-2f5ae215be92,ADDS\mafifi,3/25/2019 11:28:08 PM,ADDS\mafifi,3/25/2019 11:28:43 PM,82cc4478-85e4-4896-9ffa-0520b1bb2489,134,1,2_Tilmicosin,3,30,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
35,1,0d354861-e787-498b-8fdb-448880c2b8c6,ADDS\mafifi,3/25/2019 11:29:32 PM,ADDS\mafifi,3/25/2019 11:29:32 PM,5d58dbc5-8ad9-4345-b189-133d637ce0cf,134,1,3_Ceftiofur,1,1,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
36,1,f72871e3-e14a-42bb-9245-c7eedab2bee5,ADDS\mafifi,3/25/2019 11:30:23 PM,ADDS\mafifi,3/25/2019 11:30:23 PM,5d58dbc5-8ad9-4345-b189-133d637ce0cf,134,1,3_Ceftiofur,2,15,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
37,1,55315482-f708-44e3-81f3-b72c3e15f568,ADDS\mafifi,3/25/2019 11:31:03 PM,ADDS\mafifi,3/25/2019 11:31:03 PM,5d58dbc5-8ad9-4345-b189-133d637ce0cf,134,1,3_Ceftiofur,3,30,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
39,1,cb51f0ba-0bfc-4456-bc0b-d58345d0a9c1,ADDS\mafifi,3/26/2019 1:15:16 AM,ADDS\mafifi,5/19/2019 6:54:01 PM,583e866b-0230-4a0a-a982-48ebb0ac7899,200,1,1_Cephalonium,1,,1,7, A new infection at calving was defined as isolation of a pathogen not present in either pre-dry period sample,,Culture,Quarter,Length of the dry period,,,,,,,,
41,1,96020f9a-900a-40f1-9204-6f087959fd13,ADDS\mafifi,3/26/2019 1:21:23 AM,ADDS\mafifi,5/19/2019 6:54:51 PM,e7e3286a-dbad-48c7-906f-5a9ecabc3cf7,200,1,2_Cephalonium+TS,1,,1,7,,,Culture,Quarter,Length of the dry period,,,,,,,,
42,1,68f9a5cd-39c9-451f-be57-17253f9ea928,ADDS\mafifi,4/2/2019 12:06:09 PM,ADDS\mafifi,4/2/2019 12:08:13 PM,5d3108cf-2e58-4dac-b7c9-eb096ee26eb6,132,1,1_Pen+strept,1,,7,14,,,Culture,Cow,No-stratification (totals),,,,,,,,
43,1,60f5cd93-6ea4-415f-b37b-153a7431e9d5,ADDS\mafifi,4/2/2019 12:09:19 PM,ADDS\mafifi,4/2/2019 12:26:56 PM,5d3108cf-2e58-4dac-b7c9-eb096ee26eb6,132,1,1_Pen+strept,1,,7,14,,,Culture,Quarter,No-stratification (totals),,,,,,,,
44,1,41a8eec8-7a75-42f5-8f2a-430a3c71fbb7,ADDS\mafifi,4/2/2019 12:18:20 PM,ADDS\mafifi,4/2/2019 12:37:05 PM,eeb7c944-a332-46bd-9a14-da7d06f396e5,132,1,2_Pen+strept,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
45,1,17a5868b-1e7e-4635-bf95-4288df484f8a,ADDS\mafifi,4/2/2019 12:22:36 PM,ADDS\mafifi,4/2/2019 12:36:52 PM,eeb7c944-a332-46bd-9a14-da7d06f396e5,132,1,2_Pen+strept,1,,,,,,Culture,Cow,No-stratification (totals),,,,,,,,
46,1,8036adac-e9b5-4a90-b41c-452351c3c338,ADDS\mafifi,4/3/2019 3:21:03 PM,ADDS\mafifi,7/9/2019 10:46:42 AM,d7971834-b035-4762-b5cd-393ae93d47d3,346,1,1_Ceftiofur+TS,1,,3,18," According to both definitions, a quarter was
 new IMI if a pathogen was cultured at calving that was not present in the DO  only PC1 was considered
",,Culture,Quarter,No-stratification (totals),,,,,,,,
47,1,654ce4ce-01f7-4199-82d6-9faf2dd3b88d,ADDS\mafifi,4/4/2019 3:34:54 AM,ADDS\mafifi,4/4/2019 3:34:54 AM,c5881fbf-6b72-4418-ad16-e79a80b5a367,264,1,2_Cloxa,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
48,1,1e0a1f6a-ce73-4fb9-8589-9f61adc7c0b9,ADDS\mafifi,4/4/2019 3:35:52 AM,ADDS\mafifi,4/11/2019 11:28:15 PM,d2dcce57-5761-41a7-baa3-0bbd905d7e81,264,1,1_Cloxa,1,,,,"To determine dry period new infections, milk samples were taken within 12 h of calving and at the next two consecutive milkings",,Culture,Quarter,No-stratification (totals),,,,,,,,
49,1,ee1d7858-5aff-4eec-b58e-01b6fea83fab,ADDS\mafifi,4/4/2019 3:40:54 AM,ADDS\mafifi,4/4/2019 3:40:54 AM,102a481c-be8a-4675-8ce1-8e39177e0000,264,1,4_-ve control,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
50,1,3f91bacd-a394-4856-827d-08f32aa10ff2,ADDS\mafifi,4/4/2019 3:46:51 AM,ADDS\mafifi,4/4/2019 3:46:51 AM,00619eab-ab13-4ec1-ad35-5d6ad255f23a,264,1,4_Cloxa,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
51,1,727b9ded-2e2a-4aff-afaf-1457b56d4b44,ADDS\mafifi,4/4/2019 7:22:36 PM,ADDS\mafifi,4/4/2019 7:54:39 PM,b6fc7b87-6c55-4d13-89fa-399ab9658e24,570,1,1_-ve control,1,,1,4," A quarter was classified as infected if the same organism was cultured from both of the foremilk duplicate samples
",,Culture,Quarter,No-stratification (totals),,,,,,,,
52,1,c42b55c6-fec0-4886-a995-e2f79db4d3e1,ADDS\mafifi,4/4/2019 7:23:28 PM,ADDS\mafifi,4/4/2019 7:55:04 PM,6209256d-79f7-4b19-8935-e054a324358f,570,1,2_Cephalonium,1,,1,4," A quarter was classified as infected if the same organism was cultured from both of the foremilk duplicate samples
",,Culture,Quarter,No-stratification (totals),,,,,,,,
53,1,a45cfb8a-7672-4435-9ae2-0ebefec96310,ADDS\mafifi,4/4/2019 7:56:32 PM,ADDS\mafifi,4/4/2019 7:56:32 PM,68f44224-2f45-4cef-aba2-ff1a17b20674,570,1,3_Cephalonium,1,,1,4," A quarter was classified as infected if the same organism
was cultured from both of the foremilk duplicate samples",,Culture,Quarter,No-stratification (totals),,,,,,,,
54,1,59e1eb91-3770-4d2b-be65-2a188e9787b5,ADDS\mafifi,4/4/2019 7:58:01 PM,ADDS\mafifi,4/4/2019 7:58:05 PM,ecc51de1-0f91-4671-a0a8-957c8a220a45,570,1,_Cephalonium,1,,1,4," A quarter was classified as infected if the same organism
was cultured from both of the foremilk duplicate samples",,Culture,Quarter,No-stratification (totals),,,,,,,,
55,1,567fc921-25f6-4554-86e2-bc1a9dab9cec,ADDS\mafifi,4/5/2019 4:40:46 PM,ADDS\mafifi,4/5/2019 4:44:02 PM,a8fd2daf-e1bf-47e4-9c9b-4722251bc9d9,225,1,1_-ve control,1,1,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
56,1,043e70e7-4eeb-4fe4-bd31-d4d6f79afe76,ADDS\mafifi,4/5/2019 4:46:49 PM,ADDS\mafifi,4/5/2019 4:46:49 PM,b282a66d-2174-4754-8eeb-5fee7f7f17d5,225,1,2_Cloxa,1,1,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
57,1,13e1463f-5ce9-428b-8132-f21ae4ca0a9f,ADDS\mafifi,4/5/2019 4:48:46 PM,ADDS\mafifi,4/5/2019 4:48:47 PM,96f3b034-4aa5-4777-b17f-05d3e4271855,225,1,3_Cloxa,1,1,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
58,1,0b51ee61-7274-4ec4-aa64-92a1e8b88bc9,ADDS\mafifi,4/5/2019 4:50:36 PM,ADDS\mafifi,4/5/2019 4:50:36 PM,0ccc5e97-9a5f-4a90-ad46-83163e782b52,225,1,4_Cloxa,1,1,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
59,1,67f82f49-fa1f-43ac-87e6-79dd060da680,ADDS\mafifi,4/6/2019 9:42:58 PM,ADDS\mafifi,4/6/2019 9:42:58 PM,0ec2c90c-c803-4a2b-a68f-dbf50491b446,268,1,1_Cloxa,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
60,1,baee7902-abe9-4f9d-8814-5098b9764164,ADDS\mafifi,4/6/2019 9:43:23 PM,ADDS\mafifi,4/6/2019 11:17:02 PM,0ec2c90c-c803-4a2b-a68f-dbf50491b446,268,1,1_Cloxa,2,7,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
61,1,abd14a63-7aa2-4ea4-baf4-5bf75bbca026,ADDS\mafifi,4/6/2019 9:43:47 PM,ADDS\mafifi,4/6/2019 11:17:08 PM,0ec2c90c-c803-4a2b-a68f-dbf50491b446,268,1,1_Cloxa,3,14,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
62,1,43b46b55-4ff8-46ce-9c91-c5f21ccaf650,ADDS\mafifi,4/6/2019 9:44:17 PM,ADDS\mafifi,4/6/2019 11:17:16 PM,0ec2c90c-c803-4a2b-a68f-dbf50491b446,268,1,1_Cloxa,4,21,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
63,1,0a00a40f-1577-49bc-a0b4-ae9ff6b02c38,ADDS\mafifi,4/6/2019 9:50:22 PM,ADDS\mafifi,4/6/2019 9:50:36 PM,42c2a337-8c58-483b-9e9a-3c011506011d,268,1,2_Cloxa,1,1,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
64,1,453fcf44-9ee8-4e5b-ab68-87a65fe54948,ADDS\mafifi,4/6/2019 9:50:59 PM,ADDS\mafifi,4/6/2019 9:51:05 PM,42c2a337-8c58-483b-9e9a-3c011506011d,268,1,2_Cloxa,2,7,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
65,1,b3c81a6a-d8f8-4ce4-becf-04fa543cfa67,ADDS\mafifi,4/6/2019 9:51:27 PM,ADDS\mafifi,4/6/2019 9:51:27 PM,42c2a337-8c58-483b-9e9a-3c011506011d,268,1,2_Cloxa,3,14,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
66,1,9a14459d-079a-4d92-a2f6-9c3091282784,ADDS\mafifi,4/6/2019 9:51:54 PM,ADDS\mafifi,4/6/2019 9:52:03 PM,42c2a337-8c58-483b-9e9a-3c011506011d,268,1,2_Cloxa,4,21,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
67,1,5c2b44a9-aace-4edc-8744-08dd5a017aed,ADDS\mafifi,4/6/2019 11:25:00 PM,ADDS\mafifi,4/6/2019 11:26:39 PM,7bccbc10-c415-4a30-9ab5-2aa9ab9f67e7,268,1,3_-ve control,1,1,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
68,1,ad9f103d-f371-45fb-8c7d-d446ae5f373b,ADDS\mafifi,4/6/2019 11:25:29 PM,ADDS\mafifi,4/6/2019 11:26:42 PM,7bccbc10-c415-4a30-9ab5-2aa9ab9f67e7,268,1,3_-ve control,2,7,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
69,1,91152860-a1af-49fc-a786-f298a7f0d015,ADDS\mafifi,4/6/2019 11:25:58 PM,ADDS\mafifi,4/6/2019 11:26:44 PM,7bccbc10-c415-4a30-9ab5-2aa9ab9f67e7,268,1,3_-ve control,3,14,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
70,1,69c9e71c-8996-493e-89de-c6e92ca73445,ADDS\mafifi,4/6/2019 11:26:23 PM,ADDS\mafifi,4/6/2019 11:26:45 PM,7bccbc10-c415-4a30-9ab5-2aa9ab9f67e7,268,1,3_-ve control,4,21,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
71,1,6a82df2d-b572-4d17-ad8f-1a57d54a7f8f,ADDS\mafifi,4/8/2019 10:11:52 PM,ADDS\mafifi,4/8/2019 11:26:12 PM,79d60187-5de1-432c-9bfb-e69373932767,319,1,1_TS only,1,,1,8,,,Culture,Quarter,No-stratification (totals),319,1,OR,ln,1,Quarter,95%,1_TS only
72,1,461c7899-7490-4d88-ad00-614e1d32de50,ADDS\mafifi,4/8/2019 11:25:32 PM,ADDS\mafifi,4/8/2019 11:25:32 PM,913f0266-c8f3-4e31-bdf9-45d30ffe1f5f,319,1,2_Cloxa,1,,1,8,,,Culture,Quarter,No-stratification (totals),,,,,,,,
73,1,a391157b-6687-4a59-83ac-327569faab03,ADDS\mafifi,4/8/2019 11:27:58 PM,ADDS\mafifi,4/8/2019 11:29:59 PM,b100513a-09be-4158-b334-516e62acb8ce,319,1,3_Cloxa+TS,1,,1,8,,,Culture,Quarter,No-stratification (totals),319,1,OR,ln,1,Quarter,95%,3_Cloxa+TS
74,1,cad47beb-e8a1-470b-bc17-5d3b811a0e48,ADDS\mafifi,4/8/2019 11:31:15 PM,ADDS\mafifi,4/8/2019 11:31:15 PM,29262fe2-2d20-41b9-96c7-5a1f338484cd,319,1,4_Cloxa,1,,1,8,,,Culture,Quarter,No-stratification (totals),,,,,,,,
75,1,c784b1ef-4cd4-41bd-8b19-9572a3e7fc97,ADDS\mafifi,4/9/2019 7:06:11 PM,ADDS\mafifi,1/22/2020 5:06:07 PM,87d0e5c2-84dd-4868-8635-1698e001c965,254,1,1_Cloxa,1,,1,3,,,Culture,Quarter,No-stratification (totals),,,,,,,,
76,1,08586b8e-b3be-45aa-b320-a39fc125ddb5,ADDS\mafifi,4/9/2019 7:16:23 PM,ADDS\mafifi,1/22/2020 5:06:20 PM,87d0e5c2-84dd-4868-8635-1698e001c965,254,1,1_Cloxa,2,,6,8,,,Culture,Quarter,No-stratification (totals),,,,,,,,
77,1,58a391d9-2167-40ad-b3fc-44847a842372,ADDS\mafifi,4/9/2019 7:27:22 PM,ADDS\mafifi,11/26/2019 11:02:39 PM,4e7fe9a9-d88b-45e7-93af-706be9ca8f07,254,1,2_Cloxa+TS,1,,1,3,,,Culture,Quarter,No-stratification (totals),254,1,OR,linear,1,Quarter,95%,2_Cloxa+TS
78,1,d5563dcb-2fbf-4157-a1e1-bd5f843dcc9f,ADDS\mafifi,4/9/2019 7:32:20 PM,ADDS\mafifi,11/26/2019 11:03:56 PM,4e7fe9a9-d88b-45e7-93af-706be9ca8f07,254,1,2_Cloxa+TS,2,,6,8,,,Culture,Quarter,No-stratification (totals),,,,,,,,
79,1,63d5f5b5-c925-4ff9-9ca3-6786f4a564de,ADDS\mafifi,4/9/2019 8:42:29 PM,ADDS\mafifi,4/9/2019 8:42:29 PM,c55eccd2-fe19-4b79-b23e-5c5568f7ca0d,255,1,1_-ve control,1,,5,10," Briefly, the quarters, which had one-three different
pure colonies with >500 cfu/mL of bacterial species,
were considered to have an IMI. ",,Culture,Quarter,No-stratification (totals),,,,,,,,
80,1,ff902a26-9bed-42da-8f1e-4bab55eaf65b,ADDS\mafifi,4/9/2019 8:44:01 PM,ADDS\mafifi,4/9/2019 8:44:01 PM,d5d938c4-15b6-44f5-9016-8bbcfb443bf7,255,1,2_Cloxa,1,,5,10,,,Culture,Quarter,No-stratification (totals),,,,,,,,
